Address,Balance,lastTxHeightOnCosmosHub
juno1qpduzv9gw6dc7vl4r9syc75f7zpnctm4wtvq27,5.1,8280891
juno1qp0edn8da7d78tj4kuklzdc2ekqzc4n07hc4f5,25.13,8944161
juno1qztrsnhc8rjjyh4ty9r6k8dl0ur4m42z7lxmk4,3.63,Inactive
juno1qpw2e7c754cpjttyq2hhdpnv8s0ry5n8r5gcy8,9.82,12714845
juno1qp52v9lhhv9mhn4u0q6huzn7rhlw8kwnhnvszn,4.06,7553802
juno1qp3jh6ex0xan6rt7pw79a9cem6zg5uu0m9fw05,50.09,8501282
juno1qpj70d70usjzlnyq3jur3cm9evfsqsdsvc9ant,1.94,7745144
juno1qp59q8j6g0k5zwp5fwnnlpmatxr3fjqz4wcuy8,19.94,11934939
juno1qplx97ggkrrnw0y36376usrgzeqzjcqvmedf77,73.27,5803711
juno1qpu54tswaj32s0v7lskg27eq9nhxsnnfyfcuux,2.32,9791628
juno1qzvv9l7cpyxea4vl2f9zk7grxcyq0wqhmkj2eg,4.27,Inactive
juno1qpl50wz7m80qzkeagl9uqt2uh2saamu8udpy97,3.44,6110523
juno1qpknvcvhnmu0fuc467yg80nef7yt5d596tmx64,6.02,6051418
juno1qzqjt2rt46sv5ffkrr8yg4km2094g8y8hap4k4,25.71,12061682
juno1qzq83rvvxm9l6x4che6002rvvaw2cdgp0q2ddg,3.22,5746610
juno1qzdgsujyetdtt9ltr3k2qzy2299cqgan7c30v6,1.37,Inactive
juno1qpuq3psz665nla73pqhpat7kdlcl6zxh5v54vh,24.52,9722525
juno1qzp45erxxdu48mlz52xtn6fz4ze5lxhgnkwpcf,11.8,6125012
juno1qzvnjsjvs6k6e4f7es3y0rzy22qarfurghfzny,2.01,Inactive
juno1qz8z5rkng8h497hx6u6mtgkemplz6emzy00mlv,1.0,7725483
juno1qpezfa6l8w9xajc0j8q548y7aue8dw42n23d3n,12.05,9662583
juno1qz9zhgh8rqypc3pw60de45aykx3fv5quvhlh30,43.51,5541907
juno1qzrfh80q3camz52agyfkcnhnjkf8rsap9w6wxc,40.08,6501137
juno1qzywyjxvtx8f97arejv5w345q7mtrk95pqdc26,25.09,10987722
juno1qp7lvv5qreawapcx3cf0dgdmuay24czxdv4uxc,82.7,12603970
juno1qzrrz28cge49q88z2juqrja5msj3tmv3sp99yl,9.87,5625833
juno1qzftrsdkjt6lawn5ym4mv9px3wcn494z56j7uj,85.85,7963506
juno1qz2q5wtr54m9gvst8gvj6th7xhl9zuwp6tqsff,17.73,11340139
juno1qzf746rkar90ff5vtlvq89mw29j8tl2phtz73a,70.09,7534341
juno1qztdcxl0rxhzllxq7gc5em228k7n7xjzf287fc,21.0,7395781
juno1qztnetkr0zlgnamykf03teau3fhxpmkwesnhl3,9.67,5765158
juno1qzvppvshn5xzsujuh0ha940hqr7pqgce60a7y2,18.14,5691925
juno1qzdx3wtx48frtq4hnxm7g3jfgqea86p93slvj2,19.29,5782295
juno1qzwfkaq7ewf08u68vu6z9spvg8t4j4vjy30z8z,74.99,6160709
juno1qz3qkxlpq97tc7qgktwwar3qd6tyav70hvvge4,29.32,5532135
juno1qzw003xfxh0p6x5qmmdk0s48gg73yzx0gfz4lt,35.09,12692182
juno1qz3d5777zvjcqvxytkvp3wp5m58dxmtvnrt8q2,33.58,10882844
juno1qzh0s2luqhycdakel329s6kf6w5yw5sdmluwyh,3.0,Inactive
juno1qza64xa85k0558v4dl0n79m00hadens3qh08vy,517.0,Inactive
juno1qzlrvw3edazdghzx2zyv5v80qxsrvhcaxs7ler,3.52,Inactive
juno1qrsx3vawq9ujt4247fssrk45va0gdmzx3fa6tu,11.67,Inactive
juno1qr8h40yfs622qnk9g68p8r39yp6gsrmlvspd6v,8.06,Inactive
juno1qr0lw06sqx7nwqxnce66vg2asr73hsa8cnlyp6,0.07,Inactive
juno1qr98pnv0fepkkhppm7hscjnghydwlx0gkz7m7l,2.89,Inactive
juno1qrtq7cgtszj6shw0g608t997hqe82d9k9u9sxf,7.04,Inactive
juno1qrpfwu0n32uxdfmy395k3y6xqlygzf0w4sf9m6,2.19,5515539
juno1qz68pem8z3uv7n663a8a7w508e4xyrk75vwelm,19.9,12015254
juno1qzkyqezk5l7ymj67j4u9mwrfsj54smh0wvqu9z,13.12,12527896
juno1qzht2p6547yvh49huck4ntuwzrrte2l97uskdn,600.0,11110034
juno1qzjl8jxr30893nt9pej3a9uaqlymysldscl0dd,35.67,5555147
